temperature,humidity,gas,time_hours,usage
26.274,49.878,225.02,0.05,0.32367
25.868,50.829,228.676,0.07,0.3275
25.496,50.73,226.867,0.09,0.32965
25.64,51.375,226.075,0.11,0.30193
25.695,50.503,230.662,0.13,0.32174
25.953,50.212,237.252,0.15,0.33846
26.231,49.601,236.786,0.17,0.30578
25.885,49.967,240.213,0.19,0.34319
25.711,49.708,239.786,0.21,0.31074
25.341,49.66,235.963,0.23,0.32503
25.278,50.325,238.767,0.25,0.31239
25.611,50.935,237.192,0.27,0.31223
25.793,50.214,232.99,0.29,0.29903
26.08,50.544,235.863,0.31,0.33371
26.039,50.681,230.82,0.33,0.30318
26.207,50.623,231.733,0.35,0.33084
26.342,50.731,232.562,0.37,0.31378
25.873,50.604,228.566,0.39,0.31234
26.226,50.072,222.382,0.41,0.30485
26.02,50.396,223.181,0.43,0.32432
26.184,50.209,227.577,0.45,0.30378
25.707,49.389,230.69,0.47,0.31504
25.368,49.391,225.823,0.49,0.31893
25.314,49.153,223.044,0.51,0.31397
25.176,48.328,217.696,0.53,0.32256
25.585,48.727,214.418,0.55,0.32287
25.863,49.161,213.709,0.57,0.29611
25.46,49.966,213.09,0.59,0.29051
25.266,50.125,208.565,0.61,0.31228
25.524,50.564,207.614,0.63,0.30393
25.608,50.864,201.796,0.65,0.29176
25.15,50.852,199.414,0.67,0.27651
24.753,51.027,194.803,0.69,0.30209
24.835,50.721,196.075,0.71,0.26739
25.293,50.685,200.034,0.73,0.27532
25.28,50.667,206.163,0.75,0.29923
25.253,50.201,203.805,0.77,0.29533
25.192,49.244,208.373,0.79,0.31329
24.832,49.352,202.893,0.81,0.29828
24.614,49.671,206.071,0.83,0.30315
24.221,50.503,202.294,0.85,0.26889
24.276,50.245,206.911,0.87,0.30338
24.093,51.15,203.984,0.89,0.28847
23.849,52.022,199.289,0.91,0.26485
23.784,53.007,204.772,0.93,0.29658
24.175,53.794,205.036,0.95,0.28174
24.447,54.117,203.267,0.97,0.27319
24.694,53.642,209.383,0.99,0.28491
24.317,54.305,204.529,1.01,0.27673
24.416,55.054,200.279,1.03,0.27949
24.694,55.997,200.289,1.05,0.27446
24.208,55.457,195.135,1.07,0.28925
23.829,55.469,197.854,1.09,0.28514
23.529,56.078,200.87,1.11,0.29189
23.16,55.325,206.856,1.13,0.2804
22.961,55.302,209.136,1.15,0.30321
22.748,56.152,202.484,1.17,0.28114
22.882,55.364,197.449,1.19,0.27284
23.348,55.556,203.511,1.21,0.29535
23.315,56.125,196.761,1.23,0.26248
23.645,56.719,193.018,1.25,0.27856
23.751,57.454,194.461,1.27,0.27549
23.625,57.306,196.588,1.29,0.29449
23.579,56.802,192.902,1.31,0.2867
23.895,56.012,186.834,1.33,0.2781
23.541,56.662,184.178,1.35,0.2561
23.962,55.993,181.164,1.37,0.25677
23.578,55.035,174.94,1.39,0.25087
23.131,55.217,177.47,1.41,0.25885
22.949,55.226,182.72,1.43,0.27988
22.493,54.589,179.034,1.45,0.25049
22.564,54.422,172.724,1.47,0.25131
22.588,53.625,177.392,1.49,0.24196
23.013,52.823,182.202,1.51,0.28194
23.492,53.427,186.115,1.53,0.27715
23.771,52.697,186.62,1.55,0.27401
24.129,52.622,185.011,1.57,0.27995
23.895,51.902,184.702,1.59,0.26946
23.628,51.637,182.831,1.61,0.26297
23.507,52.008,179.987,1.63,0.28507
23.924,51.97,177.584,1.65,0.26923
24.272,52.275,181.846,1.67,0.27423
24.405,51.852,185.134,1.69,0.26417
24.6,52.573,179.984,1.71,0.27806
24.195,53.024,174.167,1.73,0.28436
23.832,53.942,178.379,1.75,0.2716
24.115,54.532,184.623,1.77,0.26415
24.205,53.723,186.25,1.79,0.26256
24.27,53.867,185.774,1.81,0.27665
24.534,54.466,185.664,1.83,0.28119
24.965,53.705,180.303,1.85,0.25936
25.123,53.543,184.144,1.87,0.28639
24.957,54.339,187.819,1.89,0.27205
24.821,53.968,183.026,1.91,0.26288
25.257,53.844,181.392,1.93,0.28753
25.31,54.716,185.316,1.95,0.28066
25.186,55.69,188.365,1.97,0.30101
24.805,56.391,190.284,1.99,0.267
24.893,56.763,183.456,2.01,0.27588
25.218,56.353,182.876,2.03,0.27688
25.02,57.19,186.814,2.05,0.2653
25.517,57.949,183.789,2.07,0.29506
25.124,58.947,186.108,2.09,0.28697
24.714,59.741,179.514,2.11,0.26345
24.357,60.295,175.289,2.13,0.28511
24.514,59.367,168.365,2.15,0.24666
24.619,59.97,164.705,2.17,0.27654
24.177,60.572,170.694,2.19,0.27519
24.375,61.248,164.256,2.21,0.24889
24.0,61.257,167.689,2.23,0.26631
24.351,60.567,170.974,2.25,0.25325
24.122,60.987,177.696,2.27,0.27351
23.676,61.22,171.289,2.29,0.27719
23.886,60.566,165.573,2.31,0.24626
24.366,60.483,169.551,2.33,0.27004
24.438,59.773,175.795,2.35,0.26157
24.516,60.173,177.884,2.37,0.28911
24.165,60.19,176.541,2.39,0.26743
23.784,59.458,173.434,2.41,0.25618
23.712,59.68,175.319,2.43,0.26141
23.621,59.115,176.555,2.45,0.25798
23.157,58.952,176.193,2.47,0.25135
23.229,59.083,179.021,2.49,0.27071
23.381,58.716,183.045,2.51,0.27056
23.313,58.968,181.094,2.53,0.26729
23.55,59.741,186.989,2.55,0.27257
23.57,60.34,184.391,2.57,0.28416
23.564,59.572,178.4,2.59,0.27998
23.12,59.133,176.078,2.61,0.24895
22.933,59.619,169.283,2.63,0.26913
23.29,59.363,164.434,2.65,0.25865
22.91,59.093,170.852,2.67,0.27685
23.182,58.715,173.479,2.69,0.26873
23.07,58.997,166.629,2.71,0.24328
23.095,58.324,161.952,2.73,0.26514
23.584,58.436,166.699,2.75,0.27758
23.225,58.333,165.195,2.77,0.23799
23.481,58.2,164.766,2.79,0.242
