temperature,humidity,gas,time_hours,usage
33.861,47.398,411.126,0.05,0.49341
34.245,47.28,396.031,0.07,0.46089
33.708,47.701,385.543,0.09,0.44684
33.338,47.583,375.801,0.11,0.4489
33.779,48.156,361.93,0.13,0.47827
33.573,48.555,366.661,0.15,0.46637
33.288,47.701,354.686,0.17,0.4299
32.784,48.617,343.875,0.19,0.4601
32.492,49.578,340.773,0.21,0.44607
31.47,50.028,356.363,0.23,0.44912
32.479,49.424,370.743,0.25,0.44944
33.275,49.434,367.079,0.27,0.48027
32.162,48.952,360.667,0.29,0.45989
32.413,49.855,371.848,0.31,0.47072
33.495,48.835,387.27,0.33,0.44132
33.826,49.682,394.427,0.35,0.46072
34.512,48.686,400.65,0.37,0.47257
34.377,49.301,407.883,0.39,0.47596
35.088,48.481,404.103,0.41,0.49416
34.556,48.767,393.192,0.43,0.47751
33.841,48.415,379.12,0.45,0.48951
35.064,48.737,381.122,0.47,0.48083
35.389,49.08,393.106,0.49,0.49092
35.623,49.388,402.659,0.51,0.49184
36.523,49.555,393.452,0.53,0.46525
35.627,49.825,403.711,0.55,0.48314
34.911,49.82,391.037,0.57,0.50805
34.075,48.912,390.251,0.59,0.49566
34.183,49.843,386.368,0.61,0.50378
34.76,49.034,390.444,0.63,0.45316
35.377,49.082,380.479,0.65,0.46115
36.678,48.126,367.97,0.67,0.47625
37.054,48.717,365.443,0.69,0.49231
36.277,49.634,381.545,0.71,0.46807
35.466,48.718,377.771,0.73,0.46326
36.717,49.168,389.822,0.75,0.46448
35.788,48.597,395.075,0.77,0.46117
36.821,47.653,380.264,0.79,0.51074
37.821,48.156,366.828,0.81,0.4919
38.0,48.298,362.855,0.83,0.48071
38.318,47.288,363.3,0.85,0.50506
38.479,48.282,348.776,0.87,0.45709
37.943,48.112,365.728,0.89,0.45859
39.292,48.647,368.871,0.91,0.50983
38.321,49.212,375.03,0.93,0.47254
38.315,48.504,384.044,0.95,0.48323
38.371,48.381,369.339,0.97,0.48885
37.87,48.894,385.643,0.99,0.52168
38.066,47.919,372.475,1.01,0.47535
37.428,48.826,378.541,1.03,0.4892
37.135,49.797,375.393,1.05,0.49029
38.329,49.742,367.393,1.07,0.50229
38.081,49.964,352.809,1.09,0.46672
38.819,49.455,360.133,1.11,0.49947
38.77,48.295,358.931,1.13,0.48112
38.846,47.459,370.163,1.15,0.4846
38.6,46.741,386.664,1.17,0.48131
39.887,45.698,375.267,1.19,0.49742
41.093,46.262,373.263,1.21,0.48975
41.513,45.109,377.401,1.23,0.51783
41.064,45.91,373.369,1.25,0.49316
42.12,46.767,372.364,1.27,0.51974
42.903,47.199,370.286,1.29,0.48154
42.299,46.255,356.048,1.31,0.5191
43.224,45.247,360.88,1.33,0.51958
43.18,45.95,371.047,1.35,0.50229
42.69,45.507,363.676,1.37,0.50772
41.757,46.372,366.536,1.39,0.48101
41.591,46.228,358.157,1.41,0.47618
41.094,47.048,350.977,1.43,0.48067
41.159,46.313,350.468,1.45,0.46388
42.15,45.796,343.164,1.47,0.47102
43.28,46.345,344.664,1.49,0.49852
42.747,47.186,359.255,1.51,0.52646
42.811,46.026,355.916,1.53,0.47033
42.466,45.005,359.978,1.55,0.50733
42.44,44.099,362.832,1.57,0.51255
42.829,44.99,360.435,1.59,0.51421
43.575,45.291,349.882,1.61,0.48241
42.804,44.384,366.687,1.63,0.49022
42.911,43.578,385.398,1.65,0.53965
42.166,42.518,376.791,1.67,0.51501
42.866,41.477,371.966,1.69,0.4863
42.248,41.395,375.674,1.71,0.4891
41.749,42.253,391.416,1.73,0.49379
42.295,43.021,379.532,1.75,0.52177
43.661,41.896,365.118,1.77,0.50628
45.008,41.114,369.55,1.79,0.50808
46.259,40.896,385.008,1.81,0.54763
45.679,41.298,383.539,1.83,0.55406
45.217,40.621,389.314,1.85,0.56074
45.334,40.699,388.103,1.87,0.55458
44.891,41.268,377.062,1.89,0.5483
46.291,40.647,381.623,1.91,0.55242
47.616,39.474,391.816,1.93,0.55953
48.424,38.363,409.927,1.95,0.58935
48.61,38.879,413.893,1.97,0.56084
47.775,39.31,428.644,1.99,0.58716
47.738,39.946,416.294,2.01,0.57554
47.67,40.367,425.969,2.03,0.54684
48.15,40.133,418.26,2.05,0.58906
47.532,39.138,436.699,2.07,0.58328
48.198,39.332,447.086,2.09,0.61999
48.941,39.571,448.646,2.11,0.61907
48.952,39.718,460.563,2.13,0.61538
48.428,39.921,467.026,2.15,0.59682
48.387,40.223,457.39,2.17,0.57545
48.117,40.384,445.035,2.19,0.60745
48.178,40.325,458.266,2.21,0.60103
49.456,39.756,467.797,2.23,0.61091
49.628,39.197,468.376,2.25,0.61561
50.162,38.769,473.191,2.27,0.60745
50.814,38.86,458.574,2.29,0.61975
50.439,39.16,470.282,2.31,0.61945
50.887,38.642,457.467,2.33,0.6426
50.971,38.03,463.708,2.35,0.63009
51.377,38.835,452.345,2.37,0.60665
50.68,39.676,447.059,2.39,0.613
50.534,39.827,461.084,2.41,0.63074
51.535,40.559,449.659,2.43,0.63516
52.488,40.623,437.498,2.45,0.59455
51.489,40.136,428.405,2.47,0.60161
52.808,40.48,414.392,2.49,0.60602
53.608,41.004,410.135,2.51,0.56778
54.105,40.388,421.185,2.53,0.59273
54.731,40.339,438.74,2.55,0.59705
55.963,39.956,454.855,2.57,0.64827
56.076,40.781,439.999,2.59,0.61962
55.467,41.54,444.615,2.61,0.647
55.119,40.423,454.985,2.63,0.65294
56.348,40.282,457.941,2.65,0.64056
