temperature,humidity,gas,time_hours,usage
28.79,63.385,171.849,0.05,0.26834
27.933,63.424,168.501,0.07,0.26299
26.764,63.461,171.646,0.09,0.2718
25.994,62.17,180.617,0.11,0.29034
26.018,60.864,175.821,0.13,0.28002
26.819,60.238,182.871,0.15,0.26333
26.0,60.314,187.688,0.17,0.25834
25.081,60.272,196.362,0.19,0.28043
24.118,58.364,204.742,0.21,0.26786
25.023,58.584,196.502,0.23,0.27018
24.218,58.553,203.666,0.25,0.30111
25.006,56.997,203.367,0.27,0.28369
24.391,57.824,197.096,0.29,0.27431
25.473,55.959,194.283,0.31,0.26914
25.5,54.673,185.999,0.33,0.30519
25.322,55.389,191.158,0.35,0.26725
24.665,56.483,186.041,0.37,0.27461
23.562,58.394,187.407,0.39,0.2754
24.658,58.35,182.278,0.41,0.24774
25.186,58.755,186.102,0.43,0.24929
25.693,60.314,179.73,0.45,0.26995
24.512,59.435,180.164,0.47,0.27833
23.416,59.992,177.02,0.49,0.23195
24.524,59.549,184.363,0.51,0.26809
25.768,58.799,193.596,0.53,0.25512
24.744,60.515,186.183,0.55,0.29291
25.74,60.341,181.586,0.57,0.24835
25.47,59.082,188.991,0.59,0.2904
25.321,60.389,189.18,0.61,0.26105
24.254,58.42,192.645,0.63,0.27122
23.699,59.305,197.161,0.65,0.28896
23.583,58.935,199.652,0.67,0.30558
22.683,57.914,202.336,0.69,0.28187
23.869,59.58,198.734,0.71,0.25093
23.339,57.6,200.488,0.73,0.26342
24.127,59.08,204.411,0.75,0.26864
23.55,59.639,208.577,0.77,0.27778
23.928,58.756,203.392,0.79,0.30767
24.359,56.945,210.246,0.81,0.27312
23.806,55.121,208.852,0.83,0.25904
23.44,56.244,217.546,0.85,0.3063
23.688,57.659,212.38,0.87,0.29244
23.606,56.168,211.657,0.89,0.31395
22.99,55.595,218.549,0.91,0.308
23.597,55.455,228.406,0.93,0.31406
22.613,56.487,235.317,0.95,0.29378
24.152,55.573,243.914,0.97,0.30578
24.636,55.775,243.268,0.99,0.33862
24.656,56.415,249.364,1.01,0.31106
25.381,54.857,246.857,1.03,0.30028
24.177,55.834,248.819,1.05,0.30101
24.563,55.091,246.696,1.07,0.3015
25.358,54.531,242.614,1.09,0.32784
26.844,54.758,246.526,1.11,0.34699
26.088,53.588,240.302,1.13,0.31766
26.086,54.392,233.166,1.15,0.33052
26.724,54.438,231.447,1.17,0.34357
26.64,54.268,226.54,1.19,0.30158
26.528,53.296,221.447,1.21,0.3121
26.239,53.756,226.271,1.23,0.32697
25.45,55.154,229.834,1.25,0.32643
25.584,54.403,236.684,1.27,0.33201
25.908,54.26,234.301,1.29,0.29714
27.019,55.593,227.282,1.31,0.30516
27.049,56.406,226.008,1.33,0.31897
26.285,56.419,234.862,1.35,0.32899
25.692,55.985,245.354,1.37,0.29809
27.039,54.06,240.021,1.39,0.34189
28.224,53.523,234.536,1.41,0.35324
27.348,53.771,229.416,1.43,0.29649
26.84,55.413,239.111,1.45,0.34501
26.093,53.391,243.127,1.47,0.34685
25.691,54.461,244.592,1.49,0.30555
27.26,52.628,238.941,1.51,0.33015
28.097,53.727,235.552,1.53,0.32103
28.025,51.874,243.214,1.55,0.32992
28.575,49.948,242.892,1.57,0.35749
29.297,49.19,239.608,1.59,0.33601
28.751,49.718,243.083,1.61,0.34841
27.756,49.294,238.409,1.63,0.32369
29.193,50.953,244.054,1.65,0.33635
28.33,50.25,251.271,1.67,0.36467
29.215,52.058,262.14,1.69,0.32615
30.62,53.558,266.223,1.71,0.36162
31.527,54.284,266.556,1.73,0.39247
32.98,52.292,274.215,1.75,0.36304
32.813,50.425,272.044,1.77,0.35684
32.23,48.775,280.409,1.79,0.37901
32.222,49.123,287.893,1.81,0.39462
31.171,46.989,287.982,1.83,0.39491
31.052,45.431,284.793,1.85,0.40539
31.163,44.991,284.161,1.87,0.4096
31.746,45.902,283.361,1.89,0.37768
31.361,43.984,292.826,1.91,0.37194
30.337,44.007,301.081,1.93,0.40688
31.546,42.915,303.284,1.95,0.4009
31.744,44.119,305.731,1.97,0.38517
31.0,44.632,299.376,1.99,0.42009
32.265,44.359,306.073,2.01,0.4329
33.58,43.413,301.481,2.03,0.38888
33.579,43.329,307.062,2.05,0.40793
34.672,42.699,313.858,2.07,0.44756
35.751,42.272,313.288,2.09,0.39971
37.226,42.069,308.293,2.11,0.44531
36.266,43.708,305.263,2.13,0.40874
37.699,42.072,313.321,2.15,0.44739
37.023,43.69,321.414,2.17,0.41667
36.535,42.175,320.147,2.19,0.44359
36.053,42.503,324.241,2.21,0.41578
37.354,42.373,325.09,2.23,0.43068
37.654,44.221,322.413,2.25,0.45802
37.94,42.433,317.184,2.27,0.42356
37.274,40.87,318.925,2.29,0.44706
37.97,41.293,317.817,2.31,0.41502
